name,brand,sku,category,price,original_price,stock,description,image,bullet_points,is_featured,is_deal,status
Premium Agarbatti Set - 12 Fragrances,Swaxthika Originals,PI-001,Pooja Items,399,599,400,Premium incense stick collection with 12 divine fragrances. Includes Sandalwood Jasmine Rose and more.,https://images.unsplash.com/photo-1598128558393-70ff21f8be44?auto=format&fit=crop&q=80&w=600,12 unique fragrances|Natural ingredients|Low smoke formula|240 sticks total|Gift packaging,true,true,Active
Pure Camphor Tablets 100g,Sacred Essentials,PI-002,Pooja Items,149,199,600,Pure refined camphor tablets for daily aarti. Burns clean with divine fragrance. Food grade quality.,https://images.unsplash.com/photo-1609137144813-90928e367878?auto=format&fit=crop&q=80&w=600,100% pure camphor|Food grade quality|Clean burning|100g pack|No residue formula,false,false,Active
Kumkum and Turmeric Pooja Set,Swaxthika Originals,PI-003,Pooja Items,249,349,350,Premium kumkum and turmeric set for daily pooja. Includes sindoor chandan and vibhuti.,https://images.unsplash.com/photo-1596751303335-ca42b3ca50c1?auto=format&fit=crop&q=80&w=600,5 item pooja set|Premium kumkum|Pure turmeric|Includes sindoor|Brass container included,false,false,Active
Brass Pooja Thali Complete Set,Temple Treasures,PI-004,Pooja Items,899,1299,150,Complete brass pooja thali set with diya bell kumkum holder and incense stand. 7 piece set.,https://images.unsplash.com/photo-1621644799015-842245b0840c?auto=format&fit=crop&q=80&w=600,7 piece complete set|Pure brass material|Includes diya and bell|Kumkum holder|Premium finish,true,false,Active
Cotton Wicks for Diya - Pack of 500,Sacred Essentials,PI-005,Pooja Items,99,149,800,Pure cotton wicks for oil lamps and diyas. Ready to use pre-rolled wicks. Pack of 500.,https://images.unsplash.com/photo-1561149775-690a986f3458?auto=format&fit=crop&q=80&w=600,Pack of 500 wicks|Pure cotton|Pre-rolled ready|Fits all diyas|Long burning time,false,false,Active
Panchamrit Pooja Essentials Kit,Swaxthika Originals,PI-006,Pooja Items,549,799,200,Complete Panchamrit preparation kit with honey ghee sugar curd and tulsi. Festival special.,https://images.unsplash.com/photo-1545127398-14699f92334b?auto=format&fit=crop&q=80&w=600,All 5 ingredients|Premium quality|Festival special|Sufficient for 10 poojas|Instructions included,false,true,Active
Brass Oil Lamp Deepam Traditional,Temple Treasures,PI-007,Pooja Items,699,999,180,Traditional brass oil lamp with 5 wicks. South Indian style deepam for daily pooja.,https://images.unsplash.com/photo-1582234372130-97cc181056cb?auto=format&fit=crop&q=80&w=600,5 wick brass deepam|South Indian style|8 inch height|Heavy brass construction|Traditional design,false,false,Active
Sandalwood Powder Pure 50g,Sacred Essentials,PI-008,Pooja Items,349,499,250,Pure Mysore sandalwood powder for tilak and pooja. Authentic fragrance and smooth texture.,https://images.unsplash.com/photo-1514222134-b57cbb8ce073?auto=format&fit=crop&q=80&w=600,Pure Mysore sandalwood|50g premium pack|Authentic fragrance|Smooth texture|For tilak and pooja,false,false,Active
Tulsi Mala Rosary 108 Beads,Swaxthika Originals,PI-009,Pooja Items,199,299,320,Holy Tulsi wood mala with 108 beads for japa meditation. Knotted between each bead.,https://images.unsplash.com/photo-1601121141461-9d6647bca1ed?auto=format&fit=crop&q=80&w=600,108 Tulsi wood beads|Knotted construction|Japa meditation|Light weight|Natural Tulsi wood,false,false,Active
Brass Ghanta Pooja Bell Large,Temple Treasures,PI-010,Pooja Items,499,749,140,Large brass pooja bell with clear resonating sound. Ornate handle with deity motif.,https://images.unsplash.com/photo-1590845947698-dc1d35bce119?auto=format&fit=crop&q=80&w=600,Clear resonating sound|Brass construction|Deity motif handle|7 inch height|Temple quality bell,false,false,Active
Traditional Kemp Necklace Set,Swaxthika Jewels,TJ-001,Temple Jewellery,2999,4499,40,Stunning traditional kemp stone necklace with matching earrings. Gold plated South Indian temple design.,https://images.unsplash.com/photo-1611591437281-460bfbe1220a?auto=format&fit=crop&q=80&w=600,Kemp stone necklace set|Gold plated|Matching earrings|South Indian design|Adjustable length,true,true,Active
Gold Plated Lakshmi Pendant Chain,Divine Jewels,TJ-002,Temple Jewellery,1499,2199,65,Elegant Lakshmi pendant with gold plated chain. Micro gold finish with AD stones.,https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?auto=format&fit=crop&q=80&w=600,Lakshmi pendant design|Micro gold finish|AD stone setting|18 inch chain|Anti-tarnish coating,false,false,Active
Temple Style Jhumka Earrings,Swaxthika Jewels,TJ-003,Temple Jewellery,799,1199,100,Classic temple style jhumka earrings with pearl drops. Antique gold finish.,https://images.unsplash.com/photo-1535632066927-ab7c9ab60908?auto=format&fit=crop&q=80&w=600,Temple style jhumkas|Pearl drops|Antique gold finish|Light weight|Push back closure,false,false,Active
Kemp Stone Bangles Set of 4,Divine Jewels,TJ-004,Temple Jewellery,1299,1899,55,Set of 4 kemp stone bangles in gold plated brass. Traditional South Indian design.,https://images.unsplash.com/photo-1573408301185-9146fe634ad0?auto=format&fit=crop&q=80&w=600,Set of 4 bangles|Kemp stone work|Gold plated brass|Multiple sizes available|Traditional design,false,true,Active
Antique Finish Choker Necklace,Swaxthika Jewels,TJ-005,Temple Jewellery,3499,4999,30,Statement antique finish choker necklace with deity motifs. Bridal collection piece.,https://images.unsplash.com/photo-1602751584552-8ba73aad10e1?auto=format&fit=crop&q=80&w=600,Bridal choker necklace|Antique finish|Deity motifs|Adjustable thread|Statement piece,true,false,Active
Nagas Work Long Haram,Divine Jewels,TJ-006,Temple Jewellery,4999,6999,20,Exquisite Nagas work long haram with Lakshmi pendant. Traditional bridal jewellery.,https://images.unsplash.com/photo-1609587312208-cea54be969e7?auto=format&fit=crop&q=80&w=600,Nagas work design|Long haram style|Lakshmi pendant|Bridal special|22 inch length,false,false,Active
Matte Finish Temple Earrings,Swaxthika Jewels,TJ-007,Temple Jewellery,599,899,120,Elegant matte finish temple earrings with chandbali design. Light weight for daily wear.,https://images.unsplash.com/photo-1630019852942-f89202989a59?auto=format&fit=crop&q=80&w=600,Matte gold finish|Chandbali design|Light weight|Daily wear|Screw back closure,false,false,Active
Kemp Ruby Maang Tikka,Divine Jewels,TJ-008,Temple Jewellery,699,999,80,Beautiful kemp ruby maang tikka with gold plating. Perfect for traditional occasions.,https://images.unsplash.com/photo-1610694955371-d4a3e0ce4b52?auto=format&fit=crop&q=80&w=600,Kemp ruby stones|Gold plated|Adjustable hook|Bridal accessory|Traditional design,false,false,Active
Temple Kamar Bandh Waist Belt,Swaxthika Jewels,TJ-009,Temple Jewellery,1999,2999,35,Traditional temple style kamar bandh hip belt. Gold plated with adjustable chain.,https://images.unsplash.com/photo-1611085583191-a3b181a88401?auto=format&fit=crop&q=80&w=600,Temple style hip belt|Gold plated|Adjustable length|Traditional motifs|Bridal essential,false,false,Active
Coin Necklace Kasu Malai,Divine Jewels,TJ-010,Temple Jewellery,2499,3499,45,Classic coin necklace Kasu Malai in gold plating. Iconic South Indian temple jewellery.,https://images.unsplash.com/photo-1606760227091-3dd870d97f1d?auto=format&fit=crop&q=80&w=600,Kasu Malai design|Gold plated coins|South Indian style|18 inch length|Matching earrings available,false,false,Active
Premium Havan Samagri 500g,Sacred Essentials,HS-001,Homam Samagri,299,449,350,Premium havan samagri mix with 21 sacred herbs and ingredients. Ready to use for homam and havan.,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?auto=format&fit=crop&q=80&w=600,21 sacred ingredients|500g premium pack|Ready to use|Pure natural herbs|For all types of homam,true,false,Active
Pure Cow Ghee for Homam 500ml,Swaxthika Originals,HS-002,Homam Samagri,449,599,280,Pure desi cow ghee specially processed for homam and havan rituals. A2 cow milk ghee.,https://images.unsplash.com/photo-1589927986089-35812388d1f4?auto=format&fit=crop&q=80&w=600,A2 cow milk ghee|500ml glass bottle|For homam rituals|Pure desi quality|Traditional churning method,false,true,Active
Homam Kund Copper Small,Temple Treasures,HS-003,Homam Samagri,1299,1899,60,Pure copper homam kund for daily and special homams. Small size ideal for home use.,https://images.unsplash.com/photo-1564399579883-451a5d44ec08?auto=format&fit=crop&q=80&w=600,Pure copper kund|Small home size|6x6 inch|Traditional design|Includes stand,false,false,Active
Dried Coconut Pieces for Homam,Sacred Essentials,HS-004,Homam Samagri,149,199,500,Dried coconut pieces specially prepared for homam offerings. Clean and ready to use.,https://images.unsplash.com/photo-1597466765990-64ad1c35dafc?auto=format&fit=crop&q=80&w=600,Ready to use|Clean dried pieces|250g pack|For homam offerings|Natural quality,false,false,Active
Navgraha Homam Kit Complete,Swaxthika Originals,HS-005,Homam Samagri,899,1299,100,Complete Navgraha homam kit with all 9 planetary samagri. Includes mantras and procedure guide.,https://images.unsplash.com/photo-1603228254119-e6a4d095dc59?auto=format&fit=crop&q=80&w=600,Complete 9 planet kit|All samagri included|Mantra guide|Procedure booklet|One time use kit,true,true,Active
Camphor Blocks for Homam 200g,Sacred Essentials,HS-006,Homam Samagri,199,299,400,Large camphor blocks for homam fire. Pure refined camphor with long burning time.,https://images.unsplash.com/photo-1582639590011-532f7213f484?auto=format&fit=crop&q=80&w=600,Large blocks|200g pack|Pure refined|Long burning|Clean flame,false,false,Active
Sacred Wood Sticks Samidha,Swaxthika Originals,HS-007,Homam Samagri,249,349,300,Sacred wood sticks (Samidha) for homam fire. Mix of Peepal Mango and Palash wood.,https://images.unsplash.com/photo-1609766857041-ed402ea8069a?auto=format&fit=crop&q=80&w=600,Mixed sacred woods|Peepal Mango Palash|Ready cut sticks|500g pack|Traditional selection,false,false,Active
Ganapathi Homam Special Kit,Temple Treasures,HS-008,Homam Samagri,699,999,120,Special Ganapathi homam kit with modak samagri and specific offerings. Includes procedure.,https://images.unsplash.com/photo-1618763824433-c00eb8271452?auto=format&fit=crop&q=80&w=600,Ganapathi specific|Modak samagri|All offerings included|Step by step guide|Single use kit,false,false,Active
Sesame Seeds Black for Homam 250g,Sacred Essentials,HS-009,Homam Samagri,129,179,450,Pure black sesame seeds for homam offerings. Cleaned and sorted. Essential for Shani homam.,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?auto=format&fit=crop&q=80&w=600,Pure black sesame|250g pack|Cleaned and sorted|For Shani homam|Premium quality,false,false,Active
Complete Homam Starter Kit,Swaxthika Originals,HS-010,Homam Samagri,1999,2999,70,Ultimate homam starter kit with copper kund samagri ghee wood and all accessories. 25+ items.,https://images.unsplash.com/photo-1583089892943-e02e5b017b6a?auto=format&fit=crop&q=80&w=600,25+ items included|Copper kund|All samagri|Ghee and wood|Beginner friendly guide,true,false,Active
